antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
['B00GOLGWVK'],['B00CXZPG0O'],0.47058823529411764,0.47737556561085975,0.3936651583710407,0.8365384615384616,1.7523696682464454,0.16901783337769494,3.1972318339100347,0.8109833971902937
['B00CXZPG0O'],['B00GOLGWVK'],0.47737556561085975,0.47058823529411764,0.3936651583710407,0.8246445497630331,1.7523696682464454,0.16901783337769494,3.019077901430842,0.8215156491018559
['B00AS527QW'],['B00GOLGWVK'],0.3416289592760181,0.47058823529411764,0.3054298642533937,0.8940397350993378,1.8998344370860927,0.14466329518232635,4.996323529411765,0.7194094438080694
['B00AS527QW'],['B00CXZPG0O'],0.3416289592760181,0.47737556561085975,0.3054298642533937,0.8940397350993378,1.8728225730516932,0.14234454658995518,4.932268099547511,0.7078783250604558
['B00AS527QW'],['B00FTJI60I'],0.3416289592760181,0.36199095022624433,0.2420814479638009,0.7086092715231788,1.9575331125827813,0.11841485637067219,2.1895310571781157,0.742974596139641
"['B00GOLGWVK', 'B00CXZPG0O']",['B00AS527QW'],0.3936651583710407,0.3416289592760181,0.2828054298642534,0.7183908045977011,2.1028393088224098,0.1483180115067259,2.3378890017545477,0.8649552238805969
"['B00GOLGWVK', 'B00AS527QW']",['B00CXZPG0O'],0.3054298642533937,0.47737556561085975,0.2828054298642534,0.9259259259259258,1.939617342460944,0.13700067566184146,7.055429864253383,0.6974592833876221
"['B00CXZPG0O', 'B00AS527QW']",['B00GOLGWVK'],0.3054298642533937,0.47058823529411764,0.2828054298642534,0.9259259259259258,1.9675925925925923,0.13907372903912696,7.1470588235294015,0.708013029315961
['B00AS527QW'],"['B00GOLGWVK', 'B00CXZPG0O']",0.3416289592760181,0.3936651583710407,0.2828054298642534,0.8278145695364238,2.10283930882241,0.1483180115067259,3.521406195614341,0.7965910652920962
"['B00FTJI60I', 'B00GOLGWVK']",['B00AS527QW'],0.33031674208144796,0.3416289592760181,0.2420814479638009,0.7328767123287672,2.145241767214007,0.12923568313507094,2.4646710755308043,0.7971710027784794
"['B00FTJI60I', 'B00AS527QW']",['B00GOLGWVK'],0.2420814479638009,0.47058823529411764,0.2420814479638009,1.0,2.125,0.12816076656907105,inf,0.698507462686567
"['B00GOLGWVK', 'B00AS527QW']",['B00FTJI60I'],0.3054298642533937,0.36199095022624433,0.2420814479638009,0.7925925925925925,2.189537037037037,0.1315186011752421,3.076115061409178,0.7821851502328838
['B00AS527QW'],"['B00FTJI60I', 'B00GOLGWVK']",0.3416289592760181,0.33031674208144796,0.2420814479638009,0.7086092715231788,2.145241767214007,0.12923568313507094,2.298231180584122,0.8108680990461509
"['B00FTJI60I', 'B00CXZPG0O']",['B00AS527QW'],0.3190045248868778,0.3416289592760181,0.23755656108597284,0.7446808510638298,2.179794279272932,0.12857537724452817,2.578619909502262,0.794779307071666
"['B00FTJI60I', 'B00AS527QW']",['B00CXZPG0O'],0.2420814479638009,0.47737556561085975,0.23755656108597284,0.9813084112149533,2.0556318377109446,0.12199279294035748,27.960407239819,0.6775550817341862
"['B00CXZPG0O', 'B00AS527QW']",['B00FTJI60I'],0.3054298642533937,0.36199095022624433,0.23755656108597284,0.7777777777777777,2.148611111111111,0.12699371429741405,2.871040723981899,0.7696603071195905
"['B00FTJI60I', 'B00GOLGWVK', 'B00CXZPG0O']",['B00AS527QW'],0.3054298642533937,0.3416289592760181,0.23755656108597284,0.7777777777777777,2.2766740250183957,0.13321287442927046,2.9626696832579174,0.8073522568636574
"['B00FTJI60I', 'B00GOLGWVK', 'B00AS527QW']",['B00CXZPG0O'],0.2420814479638009,0.47737556561085975,0.23755656108597284,0.9813084112149533,2.0556318377109446,0.12199279294035748,27.960407239819,0.6775550817341862
"['B00FTJI60I', 'B00CXZPG0O', 'B00AS527QW']",['B00GOLGWVK'],0.23755656108597284,0.47058823529411764,0.23755656108597284,1.0,2.125,0.12576523822198563,inf,0.6943620178041544
"['B00GOLGWVK', 'B00CXZPG0O', 'B00AS527QW']",['B00FTJI60I'],0.2828054298642534,0.36199095022624433,0.23755656108597284,0.84,2.3205,0.13518355480027028,3.987556561085972,0.7934505032296831
"['B00FTJI60I', 'B00GOLGWVK']","['B00CXZPG0O', 'B00AS527QW']",0.33031674208144796,0.3054298642533937,0.23755656108597284,0.7191780821917808,2.3546423135464227,0.13666796339141293,2.473347312658647,0.859073359073359
